PageNo,Text
12,"['-neglect and coldnip in payer. 6 for a', 'greater growth this in grace!', 'C', 'Sept. 14 to How little I appreciated the', 'priveleges I enjoyed while at home: An gy', 'how I ought to appreciate what I still leave,', 'I can worship God according to the die-', 'Rates of conscience-am free to tell to others', 'Pesus-Can read the Bible - can applaach', 'the sweet consolations of the Religious of', 'the ctimal God of Love with the', 'that my prayers offered in the name of', 'Christ, will be answered. I can hear or', 'the sospel perached - can enverse with the', 'disciples of the mak and lowly Jesus-', 'am allowed to use my energies in the', 'great, good cause. The ennies within.', 'a Iesus immerses my guilty & soul in', 'the comption of my our would heart!', 'thy wash me in they blood!', 'Sermon from Goo. Teague on', 'John 14th ""if ye love are ye will', 'the of conversion, the love of Gad isa', 'keep my commanderutae Caper ""He to the counted']"
13,"['1850', 'Dure test the Devil cannot figu that', 'Christians, at first want to do Rome', 'thing for Christ they feel a desire no', 'return in some measure the love he', 'has shown them. If this desire is', 'acted upon if he exercts himself he will', 'grow in grace, and Main more enlarged', 'views. If he neglects evident duties. his', 'energy is poon gone, his spiriturality dead.', 'He soon becomes 20 dead to religious', 'fuling that it is with differently the give can', 'than the image of Jesus.', 'Lomorrow an effort will be made for', 'the Sunday school. Father, grant Des oaps -', 'not only that but a Bible class and panger', ""meetings. Can't we get up a female prayer-"", 'meiting here? Arusilla classvill, I think', 'would eng agai D know of no one else for', 'certain. this Paschal might so- but I', 'destrt whether she would take are a I tive', 'part. As for Thus where? c Lord assist us!', 'Ahouse their hearts that they may m keep upond', 'Have mercy on the women of Stants Creek!']"
14,"['Sept.15th Sermous from the text ""seeing', 'we are compassed about with Regreat', 'a cloud of cirtureseate The figure of the', 'mames of celebrating games among', 'the Preeks and Romans. The closs liking', 'wate wear previous to the time for the race', '""lest us lay aside every weight."" And', 'the', 'us"" the coat of mail which hindus', 'sins which doth so easily besel', 'us must be theour off The world', 'must no longer engrap our mind:', 'we have put on Christ ""And let us', 'me with p alience the rade Ret before', 'us, looking unto Iesus, the author', 'and finisher of our faith."" me must', 'make up our minds to woin the', 'Lace- to overcome all abstacles:- and', 'bat', 'we thrin the right and left', 'thus losing Time let us fix our', 'eyes standing steadily on the goal for which', 'we runi even Christ Iesus. O that', 'l might keep my mind constantly', 'on the scene of calvary on my']"
15,"['saviour.', '1850', 'Our Sunday school. was organised', 'to-day How geateful do l feel to the Great', 'Ruler for lois wonderful goodups. l have', 'spoken to lus. P. and hip Drudilla on', 'our pragramulting. think they will enter', 'into is. ""Where two or there must together', 'in my name. I', 'there am in the', 'midst of them. Blessed promise ! that', 'if the world call us fanaties, we have', 'the promise. we will receive the blessing', 'Blegs our efforts 0 Lord, and may it he', 'the means of establishing a common', 'peagermuiting', 'I wish that in every bissure moment', 'of my life - before every plan as action I', 'might oput the question ""How Daan l best', 'serve my Gad?"" and receive answer', 'the', 'from above.', 'Sept.18th A letter from Green old Bot', 'Dunalop is married to Sarah Burton ! when!', 'Sept. 22 A letter yesterday from cousin', 'Moh- why will jealousy rise up when']"
16,"['he dwwells with delight on the execline', 'cies of another? I cannot allow his', 'thoughts. his affections to wander', 'for one moment from me. l would', 'have every fuling to love. ls', 'akin', 'is not my right. Plorious thoughts', 'that my happinep is not in the', 'hands of a pail martal! Whatever', 'is is right', 'Sept.25th The Clouds have dinned my Buni', 'I brave strayedi variety has as filled my mind:', 'the great object of life is seldom remem', 'bered. My school weighs one my mind: my', 'enemies will say ugly things about mei', 'and my friends will repeat them to here. me.', 'I feel ampels setting so proud: a pride', 'different from my old. I have estab-', 'lished a reputations for piety and cousid-', 'or able intelligence. l am martified when', 'l hear as of others doing better thand!', 'A christian the carry Relfishues Do for!', 'stritting can save me aut Iesus.', ""I have finished that' essay a short,""]"
17,"['poor effort I', 'but the best I could do.', 'fear the desire of doing good was not', 'the sole motive. surely I am full', 'of pollution and pritrelfying sores; There', 'as no part upon which I can dwell', 'with complacency. Jesus wash me in', 'thy that can', 'bloo alone cleanse.', 'Received a letter, yesterdays, from', 'Full. she has a boy six months old.', 'she is the same dear creature.', 'My mouthly examination comes off', 'on Fridays I if I should fail, I am gone', 'I know am aiming too highling', 'I do better than any body else', ""don't"", 'I am dissatisfied. Mr. Brooks has sold', 'out and l understand intends coming', 'here next year, and trying to procure me', ""as assistant. I'll think about itti if"", ""his terms don't suith, he won't get me"", 'sure.', 'Sept. 28. My examination last after', 'noon came off very will. Few there -', 'they seemed smite Satispied. l looked for', ""cousin Bolton day. I me apraid he won't come""]"
18,"['at all. well, he can leA it alone.', 'Sept.29. the Our Sunday school is enlarging', 'Hour my heart swells with gratitude to', 'the Great Disposer of all, for His innu', 'merable benefits Preaching to-day at the', 'used some rather harsh expressions. l', 'Compbellite Church by Mr. Casky He', 'fear theirs is a dangerous doctrine.', 'He', 'deep pollution of mind.', 'seemed to know smother of the', '0 hour I long to be freed from this', 'sinful nature to dswell with Bad', 'forever in purity and holivef. The day', 'containts cannot be Jan distant.', 'I that I may spend my life in', 'such a mamer as best Quits', 'a', 'follower of christand laterer in', 'this cause!', 'Sept. 30 uh Mr. and Mrs. Paschal some to', 'Eutaro. I presided at dinner; and after', 'the boarders had left the table a traveller', 'was announcid He', 'Reemed about farty.', 'He appeared uneasy and before be was', 'half through eating he gave a convilsive']"
19,"['start, pushed his chair a little back', 'quivered all over, and altered one of the most', 'hideous grooms I ever heard. He soon Re', 'seemed his e eating but now and then,', 'that same unearthly groan escaped: it', 'filled me with such strange emotions.', 'and even the servants noticed the', 'I almost sharted from my chair;', 'change of color in my face. l shall', 'never forget it.', 'Another pupil, girl making seventeen.', 'she too poor A is without a mother:', 'Oct 5-th "" My potions l heari are well', 'pleased with me as a teacher; that,', 'is a great consolations. Among my', 'pupies, and pirceiving their dullings,', 'I cannot so well determine their', 'improvement: but if my patrons are', '-A alispited and I do my best, I ought', 'to quiet this harrowity anxiety. Mr.', 'MP Millain stold Mr. Rasekal, be pre', 'ferred sending to me, before any teacher', 'he ever know ! and marever- that', 'be believed such was the presailing sentiment among']"
20,"['those who send. I do hope I may have', 'a good school next session, so the girls', 'can come and I can', 'down, spend a year', 'at Marion. that', 'l have sent on essay,', 'but it is Jolly to think of receiving', 'the premium. I found myself unable', 'to judge of its meritt. I could notfull', 'whether it was a misuable affair,', 'on right respitable. But it makes me', 'shudder, to my', 'and the color rise', ""forehead, to think of Dr Manle's pene"", 'trating mind passing criticisms upon', 'it-mith a single glan ee crushing Atto', 'nought. and laughing at the pre', 'sumption and inexperience ee of the', 'writer. And then to think of his', 'reading my name there! But stop!', 'these are the suggestions of variety.', ""wasis for maris applause l wrote's"", 'Ah! if not partly these thoughts bed', 'not arisen. I toll what cl thoughts', 'truth I kept nothing back through', 'fear of man. the I endeavored constantly to', 'write in such a manner I would, le of']"
21,"['1850', 'I expected the next hour to must my', 'budge. 0 who can tell the inconceinable', 'depth of the wickedrep of my he art. it', 'causes a shuddu.', '""When shall I be deliver\'d', 'From this vain world of sin.""', 'O.A.6 the My Roul doth magnify the', 'Lord! Our sunday school is rapidly in', ""creasing We band some books and and's"", 'of the ""Youth\'s Renny Sojette: with which', 'the pupies all seem pleased. A lively', ""interest appears. it is the Lord's work,"", 'and The never fails! Drusilla Maxwell', ""can't consent to engage in a prayer"", 'meeting. All hearts are in hands', 'the', 'of God He can ineline', 'them towards', 'it. I can pray for it here at home.', 'O writel that I am what do I for', 'my master:', 'O.A.13th trust one year ago the afflic', 'ting hand of Providence was upon me. I', 'was in bed: how well l remember it!', 'The same slarious sum enlinened all,']"
22,"['that now sheds its cheering beams', 'around. How I wished for health the', 'enjoy those blessings which I so oft', 'forget when well. I could dream of', 'sparkling fountains just such as I', 'now hear out in the street,) with gentle', 'mumus lifting their voices in praise', 'to the great Given of all good. I again', 'need this affictions my mind is', 'wondering from Him, it is filling', 'with the world. O Lord, rather let me', 'be steeped in the deepert affiction,', 'than have my mind so much in', 'graped in the things of this world! It', 'is stealing upon me !', 'Preaching at the P. church to-day by a', 'very young man- Hadden. His text was-', '""Thou fool. He showed that those who,', 'with open eyes, neglect to seek the pearl', 'of great price, are fools. How queeting the', '6', 'things of this world yet how completely', 'are me engroped with them --- saw', 'fac Pates and those Rearson at church Today']"
23,"['1850', 'OA. 16th Father was down are the 14th l was so', 'much surprised and pleased: he was on', 'this way to choctow, in search of a home.', '0-1.17 a who can tell the depth', 'into which l am plunged: Prosperity', 'the smiles of the world are too alluring', 'O for adversity? for some stroke to', 'lay low my pride, variety worldling', 'and', 'I cannot arter it. I see', 'my danger but cannot ament it the', 'agren still lures me on, farther and', 'farther from duty. I cannot feel a', 'sickneys and disgust at the world-', 'The Dun is hidden, and the delusive', 'cannot see clearly my different relations.', 'lamp below fascinates me. I remember', 'my farmer joys and sigh for them,', ""still exchange. The world's"", 'in my heart my Sad has taken His', 'dep', 'arture', 'and', 'though', 'l', 'mom', 'yet', 'my mouning is of no avail. nutch', 'that l am this is to show me my', 'weakney. el had so much spiritual']"
24,"['pride:- I thought I could not fall could', 'not be Reduced from my love. Chas-', 'ten me, O Lord, for I can still ful', 'that affictions near Thee, are Cousin', 'better', 'than prosperity of as.', 'Kor does not write.', 'O e.20. it An excillent sermon from Mr.', 'Teagues He was so earnest in warning', 'sinners: how can reasonable men pro erase', 'timate They know they must die, they', 'must must their judge - they know not', 'how soon: and yet they wrap themselves in', 'indifference seek the barn things of time. And', 'am more consistent? I who profess to', 'l', 'love the Lord Iesus- who feel the impor', 'tance of a Roul am engrofed with the', 'world - neglect my duties am so inda', 'but Q that I might the plucked out of', 'this jit-delivered from this wartched state:', 'I have resolved to employ at least a', 'spart of my time in memorising portions', 'of scriptive. Committed thirty versis to-day', 'in Matthew.']"
25,"['1850', 'Hero l would like to be at the Prants', 'Geek muting which began on yesterday I', 'do hope there will the m many additions.', '0 Lord pour out They spirit in their', 'midss! For or the pake of Iesus Christ have', 'mercy on me: !', 'DA. 22. Such sayety such worldlyn minded', 'for a christian! Harrar horror. horror!', 'that a heart what a heart! A world of', 'perishing souls, and I, who know the value', 'of a soul, the sweets of the religion, am bring- -', 'inj a disgrace on the cause of my in naster', 'ruin. a that I might find may God! So', 'indifferently looking on while sinners rush to', 'comfort for me. The world fascinatis- I am', 'fattered, carefeed admired_ my heart is enting', 'our the world. a who shall deliverieme.', '0A.27th just finished the life of President', 'Edwards:- his seventy resolutions are worth', 'transcriting. l Jul totally inadequate to', 'the task of attempting to a dopt them', 'as mine: get will read', 'l them some', 'Times, and perhaps, by the blessing of', '2.', 'God they may be of service.']"
26,"['1. That I will do whatorever I', 'They are, to be', 'thinking', 'to the glory of Bod, and my own good, profit,', 'and pleasure, in the whole of my duration,', 'without any consideration of the time,', 'whither now, or never so many apprisids', 'of ages hene ee. Resolved, to do whatsoener', 'I think to be my duty, and mostfor the', 'good and advantage of mankind in general.', 'Resolved so to do, whatsover difficulture I', 'meet with, how many Boear and how great', 'soeven.', '2. To be continually enderoaring to find', 'out some new contrivance and invention', 'to promote the forementioned things.', '3. If ever I shall fall, and grow dull, Dous', 'to neglect to keep any part of these reso-', 'lutions, to repent of all I can remember', 'when I come to myself again', '4. Never to do any mnmmes of thing', 'whether in soul or body lefs or more, but', '/', 'what tends to the glory of God, nor be, nor', 'I', 'suffer it, if l can possibly avoid it.']"
27,"['11', 'S. Never to lose one moment of time, but', 'to improve it in the most profitable way I', 'possibly can.', '6.To live with all my might while I do live.', '7. Never to do anything which I should be', 'afraid to do, if iA were the lasthan of my life.', '8. To a act, in all respects, both speaking and', 'doing, as if nobody had been so sile as I, and', 'as if I had committed the same scuss, or', 'had the same infirmities or failings as Ahus;', 'and that I will let the knowledge of their', 'failings promote nothing but shame', 'in', 'myself, and prove only an occasion of my', 'confising my our sins and misery to Sad.', '9.7. think much, on all accasions, of my own,', 'dying and of the common eircumstances', 'which stand death.', '10. when l feel pain, to think of the pairs', 'of martyndom, and of hell.', '11. when el think of any theoren in devicity', 'to he solved, immediately inmi to do what al can', 'towards solving it, of circumstances do not', 'hinder it.']"
28,"['12. If stake delight in it as a gratification', 'of pride or vanity or on any such account,', 'immediately to throw it by.', '13. To the endersoring to find out fit objects', 'of charity and liberality', '14. Never to do any thing out of reverye.', 'is. Never to suffer the least motions of', 'anger towards irrational beingse', '16. fever to speak evil of any one, so that', 'a', 'is shall tend to his dishonor more or lefs,', 'a', 'upon no account, except for some real good.', 'e', '17. That I will line so as I shall wish I', 'had done when I come to die.', '18. To live so at all times, as I think. is', 'best in my most devout gromes, and when', 'I leave the clearest notions of the things', 'of', 'the Paspel, and another world.', '19. Never to do anything which I should be', 'afraid to do, if I expected it would not be', 'above an hour before I should hear the last trump.', '20. To maintain the strickest temperan ee', 'in eating and drinking.', '2.1. Never to do any thing, which if l should', 'see in another, I should count a just OP-']"
29,"['12', 'casion to censure him for, or to think', 'any way the more meanly of him.', '22.Lo endeavor to abtain for myself as', 'much happing in the other world as I', 'possibly can, with all the power might.', 'vigor and achemence, yea, violence I am', 'capable of or can bring myself to exert,', 'in any way that can the thought of', 'IS. frequently to take some deliberate', 'action, which Beemu most unlikely to be 7', 'done for the slory of End, and thace it', 'back to the original intention, designs,', ':', 'and ends of it; and if I find it not for', 'Pads glory, to reputts it as a breach of the fourth h', 'resolution.', '2H.', 'whenever I do any conspienously evil', 'action, to trace is back till I come back to', 'the original cause; and then, both carefully', 'endeaver to do so no more; and to strive', 'and pray with all my might of minst the', 'original of it.', '2 15. To examine carefully and constantly,', 'what the one they in me is, which causes', 'me in the least to deubt of the love of God;']"
30,"['and to direct all my forces against it.', '26. To east away such things as I find do', 'abate my assurance.', '27. Never willfully to onit any thing, except', 'the mission be for the glory of Pod; and fre-', 'questity to examine my omissions.', '28. To study the Scripitive so stradily, come', 'stantly, and frequently as that I may', 'fin d and plainly perceive myself to grow', 'in the knowledge of the same.', '29. Never to count that a prayer. nor to', 'let that pops as a prayer, nor that as a', 'pilition of a prayer, which is so made', '(', 'that I cannot hope that God will anower', 'it; nor that as a confession which I can', 'not hope Sad will accept.', 'So. To strive every week to the brought', 'higher in Keligion, and to a higher ex', 'encise of grace, than I was the week', 'before.', '31. Never to say anything at all as ainst', 'any body, but when it is perfectly agree -', 'able to the highest degree of christian honor,']"
31,"['1850', 'and of love to mankind, agreaable to the', 'lowest husmility, and sense of my own faults', 'and failings. and agreeable to the ""Calden', 'fext', 'Rule: ""often when I have said any thing', 'against any one, to bring is to, and try', 'it strictly by the test of this Resolution.', '32.To be strictly and family faithful to my', 'trust, that that in Proo. XX.6. ""A faithful', 'man who can find?"" may be fulfills d in me.', '33. To do always what I can towards making, 7', 'to', 'maintaining. and preserving peace, when', 'it can be done without an voesbalancing D', ':', 'detriment in other resper its.', '34. lu manations never to', 'speak any thing FL', 'but the pure and simple merity', '35. Whenever el so much question whither I', 'have done my duty as that my quit', ':', 'and calm is thereby distushed, to set it down,', 'and also how the question was resolved.', '36. Never to speak evil of any except I', 'st', 'have some particular good cause f or it', 'ru-', '3% To inquire every night. as I am going', 'or,', 'to bed! - wherein I have been negligent:-', 'what sin I have committed, and wherein']"
32,"['I have derived myself also at the end of', 'every week, month, and year.', '38. Never to after anything that is sparting', 'or matter of laughter on a Lards d day.', '39. Never to do anything of which I so', 'much question the lawfully as that I', 'intend at the same time, to consider', 'and examine afterwards whither is be', 'lawful or not; unless I as much question', 'the lawfulney of the omission.', '40. To inquire every night before also to', 'bed, whether I have a Ited in the best', 'way I possibly could with respe A to', 'eating and drinking.', 'HI. To ask myself at the end of every d day,', 'week, months and year, wherein l coul d', 'possibly in any respect have done', 'betters', '42. frequently to revew the dedication of my-', 'self to God, which was made at my bop-', 'Tism, which I solemnly renewed when is', 'was received into the', 'communion of the', 'church, and which', 'I have solemnly re-', 'made this threefth day of Jennany 1723.']"
33,"['1850', '49. Never, in beneaforward, till I die, to acA asif', ""I were my own, but enting and allogether God's."", 'any ways', '4H. That no other end but religion shall have', 'any influence at all on any of my a actions;', 'and that no a clion shall be, in the least', 'circumstance, any otherwise than an the religious', 'end will carry it', '45. Never to allow any pleasure or grief, joy', 'or sorrow, moramy affection at all, nor any', 'circumstance relating the it, but what helps.', 'religion.', '46. Never to the least', 'allow measure of any', 'futting or uneasiness A my father or mother.', 'Resolved, Lo suffer no effects of is, so muchi', 'as in the least alteration of speech, or motion', 'of', 'my eye; and to be especially careful of', 'it with respect to any of our family.', '47. To endeasor, to do my almost the deny', 'whatever is not most agreeable to a good', 'and universally sweet and beneodent,', 'passionate and generous, humble and', 'quiet pe a ceable, contented and easy, com', 'meek, submissive and obliging dilectivit', 'and industrious, charitable and even']"
34,"['patient, moderate forgiving and Rin', 'cere Temper; and to do, at all times, what', 'such a temper would lead me to; and', 'examine strictly at the end of every works', 'whether l have so dere.', '48. Constantly, with the utmost nicemes', 'and delijence, and the strictest seriting,', 'to be looking into the state of my soul,', 'an interest in Christ or not, that when', 'that I may know whether l have truly', 'I come to die, I may not have any my-', '49. That this shall never be, if I can helpits.', 'ligence respecting this to repent of', '50. That l act so as l think I shall judge', 'would have been best, and most prudent,', 'when I come into the future world.', 'S7That I will act so in', 'I', 'think I shall wish I had done, when', 'every respect, as', 'I come come to die.', '52. l frequently hear persons in old age,', 'say, how they would live, if they were', 'to live their lives over again: Resolved,', 'That l will line just so as l can', 'think I should wish l had done, sup-']"
35,"['1850', 'posing l live to old age.', 'I am in the best and happiest frame', 'S-3. To improve every opportunity when', 'of mind, to east and venture my soul', 'on the Lord besus christ. to trust and con', 'fide in him, and consecrate myself whally', 'who to lieen ! that from this I may have are', 'assurance of my s afety knowing that', 'I confide in my Redeman.', '5 H, whenever I bear anything spoken in', 'commendation of any person, if l think', 'l will endeavor to imithate it.', 'it would be pracemently in me, that', '5-5. To endeavor so to act as el think', 'I should do, if I had already seen the', 'happines of heaven, and the Terments of bull', '5-6.', 'Never to give over, nor in the least', 'to slacken my fight with my carriple', 'tions, however unsucurpted l may be.', '5% when I fear or misfortunes and adversity,', 'to examine whither I have done my duty,', 'and resolve to do it, and let the event', 'be just as Provider ee orders it. I will as of or', 'as l can, be concerned about nothing but my']"
36,"['us. Not only to refrain from an air of', 'duty and my sins.', 'dislike, fretfulney and anger in conver', 'sation, but to exhibit an air of love, chur', 'fulneys and benignity', '59. when I am most conscious of provo-', 'cations to illnature anger, and that I will strive most', 'to feel and act good naturally yea, at such', 'times to manifest good nature, though l', 'think that it would in other respects. it', 'would be disadvantageous, and so as would', 'be imprudent at other times.', '60. whenever my feelings begin to appear', 'in the least out of order, when I am con-', 'scious of the least uncasiness within, or', 'the least irregularity without, l will then', 'subject myself the the striclest examination', '61. that I will not give way to that list', 'lefenefs which l find unbends and relaxes', 'my mind, from being fully and fixedly', 'set on religion, whatever excuse l m ay have', 'for it that is what my listlepswep inclines', 'me to don best to be done, de.']"
37,"['16', '62. Never to do anything but my duty, and', 'then, according to Eph. VI, 6-8, - to do it willingly', 'and cheerfully, as unto the Lord, and not', 'to man: knowing that whatever good thing', 'the Lord.', 'any', 'man doth, the same shall he receive of', '63. on the supposition that there never', 'was to be but one individual in the', 'world, at any one time, who was properly', 'a complete christian, in all respects of a', 'right stamp, having christianity always', 'shining in its true lustre, and appearing', 'IA', 'excellent and lovely, from whatever part,', 'A', 'and under whatever character viewed:', 'Resolved, to act just as cl would do, if', 'I strove with all my might the be that', 'one, who should live in my time.', '64.', 'when', 'l', 'find', 'those', '""groanings', 'which', ""cannot be altered,' of which the Apostte"", 'speaks, and those ""breakings of the soul', 'for the longing it hath,"" of which the Psalm', 'ist speaks, exix. 20, that I will prom ate', 'them the the almost of my fo ower, and', 'that I will not be weary of earnestly in']"
38,"['desorous to vent my desires, nor of the', 'repetitions of such earnestrip', '65. very much to exercise myself in this', 'all my life long, n amely, with the great', 'east opensep of which l am cals able open to', 'declare my ways to God, and layn my', 'soul to him, all my sins, temptations,', 'difficulties, sorrows, fears, laopes, desires;', 'and every thing, and every circumstance as', 'according on', ""to In Mauton's Bermon the"", '119th Psalm.', '66.', 'That I will endeavor always to keep', 'a benign aspect and air of a sting and', 'and speaking, in all places, and in all', 'companies, except it should, st apper that', 'duty requires otherwise', '67. After affictions, to imprive, what l', 'am the bitter for thena; what good l have', 'got by them, and what I mights have for', 'by them.', '68. To confess frankly to myself all that', 'I find in myself either infirmity or', 'sir; and if it be what can ems religion', 'also the confer the whole ease Ao Sad, and']"
39,"['1850', 'implore needed help.', '69. Always to do that which I shall wish', '3', 'I had done, when l see others do it.', '70. Let there be something of benevolen er', 'in all that I speak', 'lung in Eutow, for murder! O wh at a', 'Oct. 31. Tomorrows four megraes are to be', 'thought! Four Rouls, with their load of sins,', 'undothed in the of christ,', 'to appear in the presence of a trust Sudge!', 'Their eternal doom to be sealed. Ases, ages,', 'infinite will page, yet bring no change. so', 'appearing the anger of behovah: deeper and', 'deeper in despair- forever. There are mil', 'lions yearly perisling - yet I raise no', 'hand to docalife - but fuble prayers in', 'their behalf my mind is engo afound with', 'the world. - selfish, Reusual ple asure. who,', 'who shall deliver me?', 'Noo.', '1st And sister Mary has a boy - well!', 'I should', 'like to are the little fellow. Sof is', 'very anxious for me to assist him next', ""year. l don't know what to do. There are""]"
40,"['some inducements for me the so. He has a', 'large school, and convenient rooms. Besides,', 'the responsibility will rest on his shoulder', 'A school is a heary burden, and I after', 'feel it sorely. But then, are night not', 'agree in some points I would want my', 'way, he, his. My religious advantages neight', 'not be so good. He, perbaks. does not ofain', 'school with prayer, and reading the Bitle', ""I am expecting Papa down - I'll ask"", 'his advice. And there is a higher source-', 'where all is widder - -I cannot faily', 'I so to Him. !', 'If is leave here, what will Sallie', 'Ricks, and Mary Watson do? They are', 'not able to so off to school: and they', 'are learning so well. And see & Sollies', ""l don't know whether I subbell be able to"", 'brings them down here; I am intremely', 'anxious to do so', 'Had conversation', 'a of some length', 'with sallic Ricks name days ago. she is', 'undecided as to her duty. she professed', 'convision two years age, and mished']"
41,"['1850', 'to join the p. clumale which her Father', ""(a 'saplish opposed the has never joined"", 'any church.', 'I a doised her to seek dili', 'sently to know her duty, and then not', 'to hisitate. she shows are A respect for', ""her Fither's opinion in in all things which el"", 'is a good sign.', 'Noo.', 'gond', 'it', 'has', 'come', 'as', 'I', '-', 'predicted.', 'it', 'has swept away all earthly hopes. The stroke', 'is indeed appalling - but I have a friend', ""that sticketh elaser than a brother're and I"", 'feel no dispair. Cousin Bob says it will', 'be more than Reven years before he can', 'marry - that he would be doing me injustice t', 'to retain my promise.', 'He still loves me', 'and leaves the to Every word', 'decision me.', 'breathed high souled resolution. supprefered an', 'guish. wh A shall I do ? I lose him U', 'I do love him! beA it seems Providential', 'Perhaps some more useful place is designed', 'for me; and shall I set up my own personal', 'present happinep of ainst the final good', 'of souls? el do desire that my sole happines', 'may consist in doing my mastics will; and']"
